default_key,default_value
_res_lang_list,en
abstract_other_lang_locale,#fra
contact_email_other_lang_locale,#fra
contact_position_other_lang_locale,#fra
data_collection_end_date,
data_collection_start_date,0001-01-01
dataset_title_other_lang_locale,#fra
default_domain_tag,Manitoba Open Data
distribution_format_version,unknown
format_resourceType_en,dataset
graphic_link,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/mb/Flag_of_Manitoba_100x100.png
jurisdiction,provincial
keyword_en_tag,en
keyword_fr_tag,fr-t-en
keyword_other_lang_locale,#fra
metadata_contact_en_tag,en
metadata_contact_fr_tag,fr
metadata_standard_version,HNAP ISO:19115 - 2003
notes_en_tag,en
notes_fr_tag,fr-t-en
org_title_en_tag,en
org_title_fr_tag,fr
position_en_tag,en
position_fr_tag,fr
progress_code,onGoing
p-t_entity,Government of Manitoba
p-t_entity_fr,Gouvernement du Manitoba
p-t_entity_other_lang_locale,#fra
p-t_license_other_lang_locale,#fra
resname_en_tag,en
resname_fr_tag,fr-t-en
role,pointOfContact
search_criteria_pycsw,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/mb
service_other_lang_locale,#fra
spatialref{0}.projection_name,unknown
spatialref{0}.projection_system,unknown
spatialref{0}.projection_system_version,unknown
tbs_collection,federated
tbs_hierarchy_level,dataset; jeuDonnées
tbs_imso_approval,true
tbs_license_id,sk-suudl
tbs_locale,en
tbs_owner_org_id,c60a52e9-b20f-4d72-a89e-2e1e9ef9cf7f
tbs_ready_to_publish,true
tbs_responsible_role,RI_414
tbs_restriction,unrestricted
tbs_state,active
tbs_type,dataset
title_en_tag,en
title_fr_tag,fr-t-en
transfer_desc_locale_default,eng
transfer_option_name_other_lang_locale,#fra
