original_value,real_value_english
"Arts, culture and history",society
Business and Economy,economy
Business and Industry,economy
Communities and Social Services,society
Community services,society
Crime and Justice,society
Departmental Views,society
Economic Participation and Prosperity,economy
Economics and industry,economy
Education - Early childhood,society
Education - Kindergarten to Grade 12,society
Education - Post Secondary and Skills Training,society
Education - Post-secondary and skills training,society
Education - Primary to grade 12,society
Education and community,society
Education and Skills Development,society
Employment and Labour,society
Energy,society
Environment,environment
Environment and food,environment
Environment and energy,environment
Financial Services,economy
Fishing and Aquaculture,farming
Gender & Diversity,society
Gender-Based Violence and Access to Justice,society
Geographic Data,location
Government,society
Government and economy,society
Government and politics,society
Health and home,health
Health and safety,health
Health and Wellness,health
history and archaeology,society
Immigration and migration, society
Internal government services,society
"Lands, Forests and Wildlife",environment
Leadership and Democratic Participation,society
Lidar,elevation
Mines and Minerals,environment
Municipalities,boundaries
Nature and environment,environment
Nature and Environment,environment
Permits and licensing,economy
Population and Demographics,society
"Poverty Reduction, Health and Well-Being",health
Procurement and contracts,economy
Public service,society
Quarterly Datasets,society
"Roads, Driving and Transport",transportation
Science and technology,geoscientificInformation
Transport,transportation
Transportation,transportation
"Transportation, Infrastructure and Energy",transportation
