default_key,default_value
metadata_standard_version,HNAP ISO:19115 - 2003
dataset_title_other_lang_locale,#fra
abstract_other_lang_locale,#fra
progress_code,onGoing
graphic_link,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/sk/Flag_of_Saskatchewan_400x400.png
p-t_license,GOS Standard Unrestricted Use Data Licence_v2.0 (https://geohub.saskatchewan.ca/documents/saskatchewan::gos-standard-unrestricted-use-data-licence-v2-0/about)
p-t_license_fr,Licence de données d'utilisation sans restriction standard v2.0 du Gouvernement de la Saskatchewan (https://geohub.saskatchewan.ca/documents/saskatchewan::gos-standard-unrestricted-use-data-licence-v2-0/about)
p-t_license_other_lang_locale,#fra
data_collection_start_date,0001-01-01
data_collection_end_date,
p-t_entity,Government of Saskatchewan
p-t_entity_fr,Gouvernement de la Saskatchewan
p-t_entity_other_lang_locale,#fra
role,pointOfContact
contact_position_other_lang_locale,#fra
distribution_format_version,unknown
keyword_other_lang_locale,#fra
service_other_lang_locale,#fra
contact_email_other_lang_locale,#fra
transfer_option_name_other_lang_locale,#fra
transfer_desc_locale_default,eng
search_criteria_pycsw,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/sk
spatialref{0}.projection_name,unknown
spatialref{0}.projection_system,unknown
spatialref{0}.projection_system_version,unknown
default_domain_tag,Saskatchewan Open Data
iso_topic{0}.topic_value,geoscientific information
east_bound_longitude,-102
west_bound_longitude,-110
north_bound_latitude,60
south_bound_latitude,49
notes_en_tag,en
notes_fr_tag,fr-t-en
position_en_tag,en
position_fr_tag,fr
keyword_en_tag,en
keyword_fr_tag,fr-t-en
title_en_tag,en
title_fr_tag,fr-t-en
org_title_en_tag,en
org_title_fr_tag,fr
metadata_contact_en_tag,en
metadata_contact_fr_tag,fr
resname_en_tag,en
resname_fr_tag,fr-t-en
jurisdiction,provincial
tbs_ready_to_publish,true
tbs_locale,en
tbs_hierarchy_level,dataset; jeuDonnées
tbs_collection,federated
tbs_responsible_role,RI_414
tbs_restriction,unrestricted
tbs_type,dataset
tbs_state,active
tbs_imso_approval,true
tbs_owner_org_id,c60a52e9-b20f-4d72-a89e-2e1e9ef9cf7f
tbs_license_id,sk-suudl
_res_lang_list,en
format_resourceType_en,dataset
contact_form_en,https://www.saskatchewan.ca/contact-us
